time; o_metric; dfl_metric; v_metric; fit_cluster
5.424;  0.953549; 0.332604; 0.191857; 0.0608482
5.44;  0.952708; 0.332637; 0.190182; 0.0602699
5.456;  0.951378; 0.332677; 0.195765; 0.0619599
5.472;  0.951355; 0.332721; 0.190078; 0.0601664
5.488;  0.951429; 0.332766; 0.192444; 0.0609283
5.504;  0.951449; 0.332797; 0.192081; 0.0608205
5.52;  0.950555; 0.332825; 0.190788; 0.0603592
5.536;  0.951549; 0.332882; 0.188291; 0.0596417
5.552;  0.951518; 0.332918; 0.187926; 0.0595306
5.568;  0.952196; 0.332974; 0.183783; 0.0582697
5.584;  0.95291; 0.333023; 0.181649; 0.0576449
5.6;  0.953263; 0.333078; 0.18568; 0.0589555
5.616;  0.954127; 0.333136; 0.184731; 0.0587176
5.632;  0.954408; 0.333189; 0.181532; 0.057727
5.648;  0.955385; 0.333235; 0.182596; 0.0581326
5.664;  0.955574; 0.333286; 0.182005; 0.0579649
5.68;  0.955873; 0.333337; 0.187224; 0.0596548
5.696;  0.955305; 0.333377; 0.187099; 0.0595866
5.712;  0.954059; 0.333409; 0.188403; 0.0599294
5.728;  0.954243; 0.333445; 0.18366; 0.0584384
5.744;  0.954652; 0.333494; 0.181879; 0.0579048
5.76;  0.955476; 0.333557; 0.177489; 0.0565668
5.776;  0.955065; 0.333606; 0.182119; 0.0580259
5.792;  0.954567; 0.333646; 0.187697; 0.0597789
5.808;  0.954344; 0.333698; 0.186621; 0.0594319
5.824;  0.95411; 0.333748; 0.178439; 0.0568206
5.84;  0.954137; 0.333796; 0.182589; 0.0581523
5.856;  0.953818; 0.333846; 0.18852; 0.0600302
5.872;  0.953413; 0.333897; 0.182943; 0.0582382
5.888;  0.953719; 0.333939; 0.179742; 0.0572451
5.904;  0.954083; 0.333984; 0.185909; 0.0592395
5.92;  0.952981; 0.33402; 0.192437; 0.0612555
5.936;  0.951119; 0.334049; 0.196709; 0.0624985
5.952;  0.95175; 0.3341; 0.183774; 0.0584366
5.968;  0.951846; 0.334142; 0.190299; 0.060525
5.984;  0.952121; 0.334172; 0.187926; 0.0597928
6;  0.952605; 0.334213; 0.183061; 0.0582817
6.016;  0.951501; 0.334251; 0.190186; 0.0604867
6.032;  0.951851; 0.334291; 0.186977; 0.0594953
6.048;  0.951867; 0.334329; 0.185675; 0.0590887
6.064;  0.952763; 0.334378; 0.18164; 0.0578674
6.08;  0.952134; 0.334409; 0.19101; 0.0608181
6.096;  0.950675; 0.334439; 0.193976; 0.0616732
6.112;  0.950895; 0.334476; 0.187692; 0.0596956
6.128;  0.949697; 0.334489; 0.191959; 0.0609784
